"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"01 Østfold";"Menn";"0 år";1441
"01 Østfold";"Menn";"1 år";1590
"01 Østfold";"Menn";"2 år";1570
"01 Østfold";"Menn";"3 år";1641
"01 Østfold";"Menn";"4 år";1644
"01 Østfold";"Menn";"5 år";1713
"01 Østfold";"Menn";"6 år";1750
"01 Østfold";"Menn";"7 år";1740
"01 Østfold";"Menn";"8 år";1960
"01 Østfold";"Menn";"9 år";1780
"01 Østfold";"Menn";"10 år";1757
"01 Østfold";"Menn";"11 år";1904
"01 Østfold";"Menn";"12 år";1819
"01 Østfold";"Menn";"13 år";1800
"01 Østfold";"Menn";"14 år";1802
"01 Østfold";"Menn";"15 år";1878
"01 Østfold";"Menn";"16 år";1952
"01 Østfold";"Menn";"17 år";2021
"01 Østfold";"Menn";"18 år";1949
"01 Østfold";"Kvinner";"0 år";1361
"01 Østfold";"Kvinner";"1 år";1399
"01 Østfold";"Kvinner";"2 år";1450
"01 Østfold";"Kvinner";"3 år";1543
"01 Østfold";"Kvinner";"4 år";1534
"01 Østfold";"Kvinner";"5 år";1605
"01 Østfold";"Kvinner";"6 år";1629
"01 Østfold";"Kvinner";"7 år";1728
"01 Østfold";"Kvinner";"8 år";1781
"01 Østfold";"Kvinner";"9 år";1721
"01 Østfold";"Kvinner";"10 år";1700
"01 Østfold";"Kvinner";"11 år";1714
"01 Østfold";"Kvinner";"12 år";1682
"01 Østfold";"Kvinner";"13 år";1723
"01 Østfold";"Kvinner";"14 år";1718
"01 Østfold";"Kvinner";"15 år";1748
"01 Østfold";"Kvinner";"16 år";1687
"01 Østfold";"Kvinner";"17 år";1802
"01 Østfold";"Kvinner";"18 år";1833
"02 Akershus";"Menn";"0 år";3318
"02 Akershus";"Menn";"1 år";3655
"02 Akershus";"Menn";"2 år";3768
"02 Akershus";"Menn";"3 år";3917
"02 Akershus";"Menn";"4 år";3885
"02 Akershus";"Menn";"5 år";4152
"02 Akershus";"Menn";"6 år";4196
"02 Akershus";"Menn";"7 år";4326
"02 Akershus";"Menn";"8 år";4407
"02 Akershus";"Menn";"9 år";4302
"02 Akershus";"Menn";"10 år";4185
"02 Akershus";"Menn";"11 år";4271
"02 Akershus";"Menn";"12 år";4229
"02 Akershus";"Menn";"13 år";4221
"02 Akershus";"Menn";"14 år";4122
"02 Akershus";"Menn";"15 år";4079
